timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1601711871447,5,open_site,200,"Number of samples in transaction : 1, number of failing samples : 0",UC_3_clearGuestbookHistory 2-1,,true,,22667,335,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,3,1
1601711871450,5,open_site-1,200,,UC_3_clearGuestbookHistory 2-1,text,true,,22667,335,1,2,http://localhost:8080/,,5,UTF-8,1,0,DESKTOP-JHIFNH0,0,1
1601711871447,5,open_site,200,"Number of samples in transaction : 1, number of failing samples : 0",UC_2_sendComment 1-1,,true,,22667,335,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,3,1
1601711871450,5,open_site-258,200,,UC_2_sendComment 1-1,text,true,,22667,335,1,2,http://localhost:8080/,,5,UTF-8,1,0,DESKTOP-JHIFNH0,0,1
1601711871456,3,select_client,200,"Number of samples in transaction : 1, number of failing samples : 0",UC_2_sendComment 1-1,,true,,6135,380,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601711871456,3,select_client-308,200,,UC_2_sendComment 1-1,text,true,,6135,380,1,2,http://localhost:8080/clients.html,,3,utf-8,1,0,DESKTOP-JHIFNH0,0,0
1601711871456,5,open_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",UC_3_clearGuestbookHistory 2-1,,true,,4460,680,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,1,0
1601711871456,3,open_guestbook-51,200,,UC_3_clearGuestbookHistory 2-1,text,true,,4112,382,1,2,http://localhost:8080/guestbook.html,,3,utf-8,1,0,DESKTOP-JHIFNH0,0,0
1601711871460,2,open_guestbook-55,200,,UC_3_clearGuestbookHistory 2-1,text,true,,348,298,1,2,http://localhost:8080/service/guestbook,,2,UTF-8,1,0,DESKTOP-JHIFNH0,0,0
1601711871459,3,open_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",UC_2_sendComment 1-1,,true,,4460,692,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,1,0
1601711871460,1,open_guestbook-364,200,,UC_2_sendComment 1-1,text,true,,4112,394,1,2,http://localhost:8080/guestbook.html,,1,utf-8,1,0,DESKTOP-JHIFNH0,0,0
1601711871461,2,open_guestbook-368,200,,UC_2_sendComment 1-1,text,true,,348,298,1,2,http://localhost:8080/service/guestbook,,2,UTF-8,1,0,DESKTOP-JHIFNH0,0,0
1601711871462,0,delete_database_if,200,"Number of samples in transaction : 0, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,1,0
1601711871447,10,Transaction Controller,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_3_clearGuestbookHistory 2-1,,true,,27127,1015,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,6,1
1601711871463,3,sent_comment,200,"Number of samples in transaction : 2, number of failing samples : 0",UC_2_sendComment 1-1,,true,,659,787,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601711871463,2,sent_comment-371,200,,UC_2_sendComment 1-1,text,true,,274,489,1,2,http://localhost:8080/service/guestbook?,,2,UTF-8,1,0,DESKTOP-JHIFNH0,0,0
1601711871465,1,sent_comment-372,200,,UC_2_sendComment 1-1,text,true,,385,298,1,2,http://localhost:8080/service/guestbook,,1,UTF-8,1,0,DESKTOP-JHIFNH0,0,0
1601711871447,14,Transaction Controller,200,"Number of samples in transaction : 13, number of failing samples : 0",UC_2_sendComment 1-1,,true,,33921,2194,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,5,1
1601711871467,9,open_site,200,"Number of samples in transaction : 1, number of failing samples : 0",UC_2_sendComment 1-1,,true,,22667,335,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,501,0
1601711871968,9,open_site-258,200,,UC_2_sendComment 1-1,text,true,,22667,335,1,2,http://localhost:8080/,,8,UTF-8,1,0,DESKTOP-JHIFNH0,0,0
1601711871978,8,select_client,200,"Number of samples in transaction : 1, number of failing samples : 0",UC_2_sendComment 1-1,,true,,6135,380,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,1,0
1601711871978,8,select_client-308,200,,UC_2_sendComment 1-1,text,true,,6135,380,1,2,http://localhost:8080/clients.html,,8,utf-8,1,0,DESKTOP-JHIFNH0,0,0
1601711871987,17,open_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",UC_2_sendComment 1-1,,true,,4497,692,1,2,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601711871987,8,open_guestbook-364,200,,UC_2_sendComment 1-1,text,true,,4112,394,1,2,http://localhost:8080/guestbook.html,,8,utf-8,1,0,DESKTOP-JHIFNH0,0,0
